question_id,variation_id,variation_text,choice_id,choice_text
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",1,"Le ou la Sage"
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",2,"Le Bon ou La Bonne"
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",3,"Le Grand ou la Grande"
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",4,"L'Intrépide"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",1,"De personne banale"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",2,"D'ignare"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",3,"De trouillard(e)"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",4,"D'égoïste"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",1,"L'amour ?"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",2,"La gloire ?"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",3,"La sagesse ?"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",4,"La pouvoir ?"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",1,"En se disant que tu leur manques, mais en gardant tout de même le sourire quand ils pensent à toi"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",2,"En se racontant inlassablement les récits de tes aventures"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",3,"En éprouvant de l'admiration quand ils pensent à tous tes exploits"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",4,"Peu importe ce que les gens penseront de moi une fois que je serai mort(e), ce qui compte, c'est ce qu'ils pensent de moi tant que je suis vivant(e)"
2,1,"Une fois tous les cent ans, la plante à Pipaillon produit des fleurs qui changent de parfum pour plaire à l'imprudent qu'elle souhaite attirer. Si cette plante souhaitait t'appâter, quelle odeur devrait-elle dégager ?",1,"L'odeur d'un feu de bois crépitant"
2,1,"Une fois tous les cent ans, la plante à Pipaillon produit des fleurs qui changent de parfum pour plaire à l'imprudent qu'elle souhaite attirer. Si cette plante souhaitait t'appâter, quelle odeur devrait-elle dégager ?",2,"L'odeur de la mer"
2,1,"Une fois tous les cent ans, la plante à Pipaillon produit des fleurs qui changent de parfum pour plaire à l'imprudent qu'elle souhaite attirer. Si cette plante souhaitait t'appâter, quelle odeur devrait-elle dégager ?",3,"L'odeur d'un parchemin neuf"
2,1,"Une fois tous les cent ans, la plante à Pipaillon produit des fleurs qui changent de parfum pour plaire à l'imprudent qu'elle souhaite attirer. Si cette plante souhaitait t'appâter, quelle odeur devrait-elle dégager ?",4,"L'odeur de ta maison"
2,2,"Il y a quatre boîtes devant toi. Laquelle essaies-tu d'ouvrir ?",1,"La petite boîte en écailles de tortue dorée à l'or fin qui semble contenir une minuscule créature qui couine."
2,2,"Il y a quatre boîtes devant toi. Laquelle essaies-tu d'ouvrir ?",2,"La boîte d'un noir brillant dotée d'une serrure et d'une clé en argent et qui porte une mystérieuse inscription en runes que tu identifies immédiatement comme étant la signature de Merlin."
2,2,"Il y a quatre boîtes devant toi. Laquelle essaies-tu d'ouvrir ?",3,"Le coffret en or sculpté, posé sur deux pieds pourvus de griffes, dont l'inscription te prévient qu'il renferme des connaissances secrètes et une tentation irrésistible."
2,2,"Il y a quatre boîtes devant toi. Laquelle essaies-tu d'ouvrir ?",4,"La petite boîte en étain, simple et sans prétention, sur laquelle on peut lire une inscription rayée qui dit 'Je ne m'ouvre que pour celui ou celle qui le mérite.'"
2,3,"Quel instrument de musique aimes-tu le plus entendre ?",1,"Le violon"
2,3,"Quel instrument de musique aimes-tu le plus entendre ?",2,"La trompette"
2,3,"Quel instrument de musique aimes-tu le plus entendre ?",3,"Le piano"
2,3,"Quel instrument de musique aimes-tu le plus entendre ?",4,"Le tambour"
2,4,"Quatre coupes remplies d'un liquide mystérieux sont placées devant toi. Laquelle choisis-tu de boire ?",1,"Celle qui contient un liquide argenté et mousseux qui scintille comme s'il renfermait de la poudre de diamant."
2,4,"Quatre coupes remplies d'un liquide mystérieux sont placées devant toi. Laquelle choisis-tu de boire ?",2,"Celle qui contient une boisson violette, onctueuse et épaisse, qui dégage un délicieux parfum de chocolat et de prunes."
2,4,"Quatre coupes remplies d'un liquide mystérieux sont placées devant toi. Laquelle choisis-tu de boire ?",3,"Celle qui contient un liquide doré et brillant qui fait mal aux yeux et fait voir des taches lumineuses partout."
2,4,"Quatre coupes remplies d'un liquide mystérieux sont placées devant toi. Laquelle choisis-tu de boire ?",4,"Celle qui contient un étrange liquide noir qui brille comme de l'encre et dégage des vapeurs provoquant d'étranges hallucinations."
2,5,"Tu entres dans un jardin enchanté rempli de choses mystérieuses. Laquelle préfères-tu examiner en premier lieu ?",1,"L'arbre à feuilles argentées chargé de pommes d'or"
2,5,"Tu entres dans un jardin enchanté rempli de choses mystérieuses. Laquelle préfères-tu examiner en premier lieu ?",2,"Les énormes champignons rouges qui semblent discuter ensemble"
2,5,"Tu entres dans un jardin enchanté rempli de choses mystérieuses. Laquelle préfères-tu examiner en premier lieu ?",3,"Le bassin bouillonnant au fond duquel on aperçoit quelque chose de lumineux qui tourbillonne inlassablement."
2,5,"Tu entres dans un jardin enchanté rempli de choses mystérieuses. Laquelle préfères-tu examiner en premier lieu ?",4,"La statue d'un vieux sorcier à l'œil étrangement pétillant"
3,1,"Un troll a fait irruption dans le bureau du directeur de Poudlard. Il est sur le point de pulvériser, écraser et déchirer plusieurs objets et trésors irremplaçables, dont notamment un remède contre la Dragoncelle que le directeur a pratiquement fini de mettre au point, les carnets scolaires de tous les élèves de Poudlard depuis 1 000 ans et un mystérieux livre écrit à la main, comportant d'étranges textes en runes, qui a très probablement appartenu à Merlin. Dans quel ordre tentes-tu de sauver ces objets de la massue du troll si tu en as la possibilité ?",1,"Livre de Merlin - Carnets scolaires - Remède à la Dragoncelle"
3,1,"Un troll a fait irruption dans le bureau du directeur de Poudlard. Il est sur le point de pulvériser, écraser et déchirer plusieurs objets et trésors irremplaçables, dont notamment un remède contre la Dragoncelle que le directeur a pratiquement fini de mettre au point, les carnets scolaires de tous les élèves de Poudlard depuis 1 000 ans et un mystérieux livre écrit à la main, comportant d'étranges textes en runes, qui a très probablement appartenu à Merlin. Dans quel ordre tentes-tu de sauver ces objets de la massue du troll si tu en as la possibilité ?",2,"Livre de Merlin - Remède à la Dragoncelle - Carnets scolaires"
3,1,"Un troll a fait irruption dans le bureau du directeur de Poudlard. Il est sur le point de pulvériser, écraser et déchirer plusieurs objets et trésors irremplaçables, dont notamment un remède contre la Dragoncelle que le directeur a pratiquement fini de mettre au point, les carnets scolaires de tous les élèves de Poudlard depuis 1 000 ans et un mystérieux livre écrit à la main, comportant d'étranges textes en runes, qui a très probablement appartenu à Merlin. Dans quel ordre tentes-tu de sauver ces objets de la massue du troll si tu en as la possibilité ?",3,"Carnets scolaires - Livre de Merlin - Remède à la Dragoncelle"
3,1,"Un troll a fait irruption dans le bureau du directeur de Poudlard. Il est sur le point de pulvériser, écraser et déchirer plusieurs objets et trésors irremplaçables, dont notamment un remède contre la Dragoncelle que le directeur a pratiquement fini de mettre au point, les carnets scolaires de tous les élèves de Poudlard depuis 1 000 ans et un mystérieux livre écrit à la main, comportant d'étranges textes en runes, qui a très probablement appartenu à Merlin. Dans quel ordre tentes-tu de sauver ces objets de la massue du troll si tu en as la possibilité ?",4,"Carnets scolaires - Remède à la Dragoncelle - Livre de Merlin"
3,1,"Un troll a fait irruption dans le bureau du directeur de Poudlard. Il est sur le point de pulvériser, écraser et déchirer plusieurs objets et trésors irremplaçables, dont notamment un remède contre la Dragoncelle que le directeur a pratiquement fini de mettre au point, les carnets scolaires de tous les élèves de Poudlard depuis 1 000 ans et un mystérieux livre écrit à la main, comportant d'étranges textes en runes, qui a très probablement appartenu à Merlin. Dans quel ordre tentes-tu de sauver ces objets de la massue du troll si tu en as la possibilité ?",5,"Remède à la Dragoncelle - Livre de Merlin - Carnets scolaires"
3,1,"Un troll a fait irruption dans le bureau du directeur de Poudlard. Il est sur le point de pulvériser, écraser et déchirer plusieurs objets et trésors irremplaçables, dont notamment un remède contre la Dragoncelle que le directeur a pratiquement fini de mettre au point, les carnets scolaires de tous les élèves de Poudlard depuis 1 000 ans et un mystérieux livre écrit à la main, comportant d'étranges textes en runes, qui a très probablement appartenu à Merlin. Dans quel ordre tentes-tu de sauver ces objets de la massue du troll si tu en as la possibilité ?",6,"Remède à la Dragoncelle - Carnets scolaires - Livre de Merlin"
3,2,"Que préférerais-tu ?",1,"Que les autres te jalousent ?"
3,2,"Que préférerais-tu ?",2,"Que les autres t'imitent ?"
3,2,"Que préférerais-tu ?",3,"Que les autres te fassent confiance ?"
3,2,"Que préférerais-tu ?",4,"Que les autres t'admirent et te félicitent ?"
3,2,"Que préférerais-tu ?",5,"Que les autres t'aiment et t'apprécient ?"
3,2,"Que préférerais-tu ?",6,"Que les autres te craignent ?"
3,3,"Qu'est-ce que tu as le plus de mal à supporter ?",1,"La faim"
3,3,"Qu'est-ce que tu as le plus de mal à supporter ?",2,"Le froid"
3,3,"Qu'est-ce que tu as le plus de mal à supporter ?",3,"La solitude"
3,3,"Qu'est-ce que tu as le plus de mal à supporter ?",4,"L'ennui"
3,3,"Qu'est-ce que tu as le plus de mal à supporter ?",5,"Le fait d'être délibérément ignoré(e) par les autres"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?",1,"L'Apparition et la Disparition"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?",2,"La métamorphose"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?",3,"Le vol sur un balai"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?",4,"Les sortilèges et les maléfices"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?",5,"Tout ce qu'il faut savoir sur les créatures magiques"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?",6,"Tous les secrets du château"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?",7,"Tous les domaines de la magie que l'on me permettra d'étudier"
4,2,"Si tu pouvais posséder n'importe quel pouvoir magique, lequel choisirais-tu ?",1,"Le pouvoir de lire dans les pensées des gens"
4,2,"Si tu pouvais posséder n'importe quel pouvoir magique, lequel choisirais-tu ?",2,"Le pouvoir de devenir invisible"
4,2,"Si tu pouvais posséder n'importe quel pouvoir magique, lequel choisirais-tu ?",3,"Le pouvoir d'être doté(e) d'une force surnaturelle"
4,2,"Si tu pouvais posséder n'importe quel pouvoir magique, lequel choisirais-tu ?",4,"Le pouvoir de parler aux animaux"
4,2,"Si tu pouvais posséder n'importe quel pouvoir magique, lequel choisirais-tu ?",5,"Le pouvoir de changer le passé"
4,2,"Si tu pouvais posséder n'importe quel pouvoir magique, lequel choisirais-tu ?",6,"Le pouvoir de modifier ton apparence comme bon te semble"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?",1,"Les centaures"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?",2,"Les gobelins"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?",3,"Les Êtres de l'Eau"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?",4,"Les fantômes"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?",5,"Les vampires"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?",6,"Les loups-garous"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?",7,"Les trolls"
5,1,"Un élève de ta maison a triché pendant les examens de Poudlard en se servant d'une plume ensorcelée. Grâce à son stratagème, il se retrouve premier de la classe en Sortilèges et tu n'es que deuxième. Le professeur Flitwick soupçonne quelque chose de louche. Il te prend à part à la fin du cours pour te demander si ton camarade a utilisé ou non une plume interdite. Que fais-tu ?",1,"Tu mens au professeur en lui disant que tu ignores la vérité (mais en espérant secrètement que quelqu'un d'autre lui dira la vérité)."
5,1,"Un élève de ta maison a triché pendant les examens de Poudlard en se servant d'une plume ensorcelée. Grâce à son stratagème, il se retrouve premier de la classe en Sortilèges et tu n'es que deuxième. Le professeur Flitwick soupçonne quelque chose de louche. Il te prend à part à la fin du cours pour te demander si ton camarade a utilisé ou non une plume interdite. Que fais-tu ?",2,"Tu réponds au professeur Flitwick qu'il vaudrait mieux qu'il pose directement la question à ton camarade de classe (et tu as déjà prévenu celui-ci que s'il ne dit pas la vérité au professeur, tu le feras à sa place)."
5,1,"Un élève de ta maison a triché pendant les examens de Poudlard en se servant d'une plume ensorcelée. Grâce à son stratagème, il se retrouve premier de la classe en Sortilèges et tu n'es que deuxième. Le professeur Flitwick soupçonne quelque chose de louche. Il te prend à part à la fin du cours pour te demander si ton camarade a utilisé ou non une plume interdite. Que fais-tu ?",3,"Tu dis la vérité au professeur Flitwick. Après tout, si ton camarade est prêt à tricher pour être premier, il mérite d'être dénoncé. Et de toute manière, comme vous appartenez tous les deux à la même maison, tu récupéreras les points qu'il perdra en lui prenant la première place."
5,1,"Un élève de ta maison a triché pendant les examens de Poudlard en se servant d'une plume ensorcelée. Grâce à son stratagème, il se retrouve premier de la classe en Sortilèges et tu n'es que deuxième. Le professeur Flitwick soupçonne quelque chose de louche. Il te prend à part à la fin du cours pour te demander si ton camarade a utilisé ou non une plume interdite. Que fais-tu ?",4,"Tu n'attendrais pas que l'on t'interroge pour dire la vérité au professeur Flitwick. Si tu savais que quelqu'un allait se servir d'une plume interdite, tu le dirais immédiatement au professeur, avant même que l'examen ne commence."
5,2,"Quel chemin te tente le plus ?",1,"La grande allée d'herbe baignée de soleil"
5,2,"Quel chemin te tente le plus ?",2,"L'étroite ruelle sombre, éclairée à la lanterne"
5,2,"Quel chemin te tente le plus ?",3,"e petit sentier tortueux jonché de feuilles mortes qui s'enfonce à travers le bois"
5,2,"Quel chemin te tente le plus ?",4,"La rue pavée bordée d'anciens bâtiments"
5,3,"Un Moldu t'aborde en pleine rue en te lançant qu'il est persuadé que tu es un sorcier ou une sorcière. Que fais-tu ?",1,"Tu lui demandes pourquoi il pense une chose pareille ?"
5,3,"Un Moldu t'aborde en pleine rue en te lançant qu'il est persuadé que tu es un sorcier ou une sorcière. Que fais-tu ?",2,"Tu en conviens et tu lui demandes s'il veut que tu lui jettes gratuitement un petit maléfice pour en être sûr ?"
5,3,"Un Moldu t'aborde en pleine rue en te lançant qu'il est persuadé que tu es un sorcier ou une sorcière. Que fais-tu ?",3,"Tu en conviens, puis tu t'en vas nonchalamment en le laissant se demander si tu bluffes ou pas ?"
5,3,"Un Moldu t'aborde en pleine rue en te lançant qu'il est persuadé que tu es un sorcier ou une sorcière. Que fais-tu ?",4,"Tu lui réponds que sa santé mentale t'inquiète et tu lui proposes d'appeler immédiatement un médecin."
5,4,"Il fait nuit noire, tu marches seul(e) dans une rue mal éclairée. Soudain, tu entends un drôle de bruit dont la provenance semble magique. Que fais-tu ?",1,"Tu poursuis ton chemin avec prudence, en gardant la main sur ta baguette magique dissimulée sous ton manteau et en restant très vigilant(e) au moindre signe de danger ?"
5,4,"Il fait nuit noire, tu marches seul(e) dans une rue mal éclairée. Soudain, tu entends un drôle de bruit dont la provenance semble magique. Que fais-tu ?",2,"Tu brandis ta baguette magique et tu tentes de découvrir d'où vient ce bruit ?"
5,4,"Il fait nuit noire, tu marches seul(e) dans une rue mal éclairée. Soudain, tu entends un drôle de bruit dont la provenance semble magique. Que fais-tu ?",3,"Tu brandis ta baguette magique pour te défendre sans te laisser impressionner ?"
5,4,"Il fait nuit noire, tu marches seul(e) dans une rue mal éclairée. Soudain, tu entends un drôle de bruit dont la provenance semble magique. Que fais-tu ?",4,"Tu te glisses silencieusement dans la pénombre en attendant la suite des événements et en faisant une liste mentale de tous les sortilèges de défense et d'attaque dont tu pourrais te servir, s'il le fallait ?"
5,5,"Deux de tes amis et toi devez traverser un pont gardé par un troll des rivières. Avant de vous laisser passer, celui-ci insiste pour se battre avec l'un de vous. Que fais-tu ?",1,"Tu tentes de détourner l'attention du troll pour qu'il vous laisse passer tous les trois sans que vous ayez à l'affronter ?"
5,5,"Deux de tes amis et toi devez traverser un pont gardé par un troll des rivières. Avant de vous laisser passer, celui-ci insiste pour se battre avec l'un de vous. Que fais-tu ?",2,"Tu proposes à tes amis de jouer à la courte paille pour décider lequel de vous trois combattra ?"
5,5,"Deux de tes amis et toi devez traverser un pont gardé par un troll des rivières. Avant de vous laisser passer, celui-ci insiste pour se battre avec l'un de vous. Que fais-tu ?",3,"Tu proposes à tes amis de l'affronter tous les trois à la fois (sans prévenir le troll) ?"
5,5,"Deux de tes amis et toi devez traverser un pont gardé par un troll des rivières. Avant de vous laisser passer, celui-ci insiste pour se battre avec l'un de vous. Que fais-tu ?",4,"Tu te portes immédiatement volontaire pour l'affronter ?"
5,6,"Quel cauchemar te ferait le plus peur ?",1,"Celui où tu te tiens au sommet de quelque chose de très, très haut et tu te rends subitement compte que tu n'as aucun point d'appui ni aucune barrière pour t'empêcher de tomber dans le vide."
5,6,"Quel cauchemar te ferait le plus peur ?",2,"Celui où tu es enfermé(e) dans une pièce sombre et sans fenêtre et où un œil mystérieux t'observe à travers le trou de la serrure."
5,6,"Quel cauchemar te ferait le plus peur ?",3,"Celui où tu découvres, en te réveillant un beau matin, que tes amis et tes proches ne te reconnaissent plus."
5,6,"Quel cauchemar te ferait le plus peur ?",4,"Celui où tu parles avec une voix tellement ridicule que personne ne te comprend et tout le monde se moque de toi."
6,1,"La lune ou les étoiles ?",1,"La lune"
6,1,"La lune ou les étoiles ?",2,"Les étoiles"
6,2,"La forêt ou la rivière ?",1,"La forêt"
6,2,"La forêt ou la rivière ?",2,"La rivière"
6,3,"L'aube ou le crépuscule ?",1,"L'aube"
6,3,"L'aube ou le crépuscule ?",2,"Le crépuscule"
7,1,"Le noir ou le blanc ?",1,"Le noir"
7,1,"Le noir ou le blanc ?",2,"Le blanc"
7,2,"La gauche ou la droite ?",1,"La gauche"
7,2,"La gauche ou la droite ?",2,"La droite"
7,3,"Pile ou face",1,"Pile"
7,3,"Pile ou face",2,"Face"
