question_id,variation_id,choice_id,house,weight
1,1,1,gryffondor,0
1,1,1,poufsouffle,0
1,1,1,serdaigle,1
1,1,1,serpentard,0
1,1,2,gryffondor,0
1,1,2,poufsouffle,1
1,1,2,serdaigle,0
1,1,2,serpentard,0
1,1,3,gryffondor,0
1,1,3,poufsouffle,0
1,1,3,serdaigle,0
1,1,3,serpentard,1
1,1,4,gryffondor,1
1,1,4,poufsouffle,0
1,1,4,serdaigle,0
1,1,4,serpentard,0
1,2,1,gryffondor,0
1,2,1,poufsouffle,0
1,2,1,serdaigle,0
1,2,1,serpentard,1
1,2,2,gryffondor,0
1,2,2,poufsouffle,0
1,2,2,serdaigle,1
1,2,2,serpentard,0
1,2,3,gryffondor,1
1,2,3,poufsouffle,0
1,2,3,serdaigle,0
1,2,3,serpentard,0
1,2,4,gryffondor,0
1,2,4,poufsouffle,1
1,2,4,serdaigle,0
1,2,4,serpentard,0
1,3,1,gryffondor,0
1,3,1,poufsouffle,1
1,3,1,serdaigle,0
1,3,1,serpentard,0
1,3,2,gryffondor,1
1,3,2,poufsouffle,0
1,3,2,serdaigle,0
1,3,2,serpentard,0
1,3,3,gryffondor,0
1,3,3,poufsouffle,0
1,3,3,serdaigle,1
1,3,3,serpentard,0
1,3,4,gryffondor,0
1,3,4,poufsouffle,0
1,3,4,serdaigle,0
1,3,4,serpentard,1
1,4,1,gryffondor,0
1,4,1,poufsouffle,1
1,4,1,serdaigle,0
1,4,1,serpentard,0
1,4,2,gryffondor,1
1,4,2,poufsouffle,0
1,4,2,serdaigle,0
1,4,2,serpentard,0
1,4,3,gryffondor,0
1,4,3,poufsouffle,0
1,4,3,serdaigle,1
1,4,3,serpentard,0
1,4,4,gryffondor,0
1,4,4,poufsouffle,0
1,4,4,serdaigle,0
1,4,4,serpentard,1
2,1,1,gryffondor,1
2,1,1,poufsouffle,0
2,1,1,serdaigle,0
2,1,1,serpentard,0
2,1,2,gryffondor,0
2,1,2,poufsouffle,0
2,1,2,serdaigle,0
2,1,2,serpentard,1
2,1,3,gryffondor,0
2,1,3,poufsouffle,0
2,1,3,serdaigle,1
2,1,3,serpentard,0
2,1,4,gryffondor,0
2,1,4,poufsouffle,1
2,1,4,serdaigle,0
2,1,4,serpentard,0
2,2,1,gryffondor,0
2,2,1,poufsouffle,1
2,2,1,serdaigle,0
2,2,1,serpentard,0
2,2,2,gryffondor,0
2,2,2,poufsouffle,0
2,2,2,serdaigle,0
2,2,2,serpentard,1
2,2,3,gryffondor,0
2,2,3,poufsouffle,0
2,2,3,serdaigle,1
2,2,3,serpentard,0
2,2,4,gryffondor,1
2,2,4,poufsouffle,0
2,2,4,serdaigle,0
2,2,4,serpentard,0
2,3,1,gryffondor,0
2,3,1,poufsouffle,0
2,3,1,serdaigle,0
2,3,1,serpentard,1
2,3,2,gryffondor,0
2,3,2,poufsouffle,1
2,3,2,serdaigle,0
2,3,2,serpentard,0
2,3,3,gryffondor,0
2,3,3,poufsouffle,0
2,3,3,serdaigle,1
2,3,3,serpentard,0
2,3,4,gryffondor,1
2,3,4,poufsouffle,0
2,3,4,serdaigle,0
2,3,4,serpentard,0
2,4,1,gryffondor,0
2,4,1,poufsouffle,0
2,4,1,serdaigle,1
2,4,1,serpentard,0
2,4,2,gryffondor,0
2,4,2,poufsouffle,1
2,4,2,serdaigle,0
2,4,2,serpentard,0
2,4,3,gryffondor,1
2,4,3,poufsouffle,0
2,4,3,serdaigle,0
2,4,3,serpentard,0
2,4,4,gryffondor,0
2,4,4,poufsouffle,0
2,4,4,serdaigle,0
2,4,4,serpentard,1
2,5,1,gryffondor,0
2,5,1,poufsouffle,0
2,5,1,serdaigle,1
2,5,1,serpentard,0
2,5,2,gryffondor,0
2,5,2,poufsouffle,1
2,5,2,serdaigle,0
2,5,2,serpentard,0
2,5,3,gryffondor,0
2,5,3,poufsouffle,0
2,5,3,serdaigle,0
2,5,3,serpentard,1
2,5,4,gryffondor,1
2,5,4,poufsouffle,0
2,5,4,serdaigle,0
2,5,4,serpentard,0
3,1,1,gryffondor,0
3,1,1,poufsouffle,0
3,1,1,serdaigle,.3
3,1,1,serpentard,.7
3,1,2,gryffondor,0
3,1,2,poufsouffle,0
3,1,2,serdaigle,.7
3,1,2,serpentard,.3
3,1,3,gryffondor,0
3,1,3,poufsouffle,.3
3,1,3,serdaigle,0
3,1,3,serpentard,.7
3,1,4,gryffondor,0
3,1,4,poufsouffle,.7
3,1,4,serdaigle,0
3,1,4,serpentard,.3
3,1,5,gryffondor,.7
3,1,5,poufsouffle,0
3,1,5,serdaigle,.3
3,1,5,serpentard,0
3,1,6,gryffondor,.3
3,1,6,poufsouffle,.7
3,1,6,serdaigle,0
3,1,6,serpentard,0
3,2,1,gryffondor,0
3,2,1,poufsouffle,0
3,2,1,serdaigle,.5
3,2,1,serpentard,.5
3,2,2,gryffondor,0
3,2,2,poufsouffle,0
3,2,2,serdaigle,1
3,2,2,serpentard,0
3,2,3,gryffondor,.5
3,2,3,poufsouffle,.5
3,2,3,serdaigle,0
3,2,3,serpentard,0
3,2,4,gryffondor,.7
3,2,4,poufsouffle,0
3,2,4,serdaigle,0
3,2,4,serpentard,.3
3,2,5,gryffondor,0
3,2,5,poufsouffle,1
3,2,5,serdaigle,0
3,2,5,serpentard,0
3,2,6,gryffondor,0
3,2,6,poufsouffle,0
3,2,6,serdaigle,0
3,2,6,serpentard,1
3,3,1,gryffondor,0
3,3,1,poufsouffle,.5
3,3,1,serdaigle,.5
3,3,1,serpentard,0
3,3,2,gryffondor,0
3,3,2,poufsouffle,.5
3,3,2,serdaigle,0
3,3,2,serpentard,.5
3,3,3,gryffondor,.7
3,3,3,poufsouffle,.3
3,3,3,serdaigle,0
3,3,3,serpentard,0
3,3,4,gryffondor,.7
3,3,4,poufsouffle,0
3,3,4,serdaigle,0
3,3,4,serpentard,.3
3,3,5,gryffondor,0
3,3,5,poufsouffle,0
3,3,5,serdaigle,.7
3,3,5,serpentard,.3
4,1,1,gryffondor,.3
4,1,1,poufsouffle,0
4,1,1,serdaigle,0
4,1,1,serpentard,.7
4,1,2,gryffondor,0
4,1,2,poufsouffle,0
4,1,2,serdaigle,1
4,1,2,serpentard,0
4,1,3,gryffondor,.5
4,1,3,poufsouffle,.5
4,1,3,serdaigle,0
4,1,3,serpentard,0
4,1,4,gryffondor,0
4,1,4,poufsouffle,0
4,1,4,serdaigle,0
4,1,4,serpentard,1
4,1,5,gryffondor,0
4,1,5,poufsouffle,1
4,1,5,serdaigle,0
4,1,5,serpentard,0
4,1,6,gryffondor,1
4,1,6,poufsouffle,0
4,1,6,serdaigle,0
4,1,6,serpentard,0
4,1,7,gryffondor,0
4,1,7,poufsouffle,0
4,1,7,serdaigle,1
4,1,7,serpentard,0
4,2,1,gryffondor,0
4,2,1,poufsouffle,0
4,2,1,serdaigle,0.5
4,2,1,serpentard,.5
4,2,2,gryffondor,1
4,2,2,poufsouffle,0
4,2,2,serdaigle,0
4,2,2,serpentard,0
4,2,3,gryffondor,0
4,2,3,poufsouffle,.7
4,2,3,serdaigle,0
4,2,3,serpentard,.3
4,2,4,gryffondor,0
4,2,4,poufsouffle,.7
4,2,4,serdaigle,.3
4,2,4,serpentard,0
4,2,5,gryffondor,.3
4,2,5,poufsouffle,0
4,2,5,serdaigle,0
4,2,5,serpentard,.7
4,2,6,gryffondor,0
4,2,6,poufsouffle,0
4,2,6,serdaigle,1
4,2,6,serpentard,0
4,3,1,gryffondor,.5
4,3,1,poufsouffle,0
4,3,1,serdaigle,.5
4,3,1,serpentard,0
4,3,2,gryffondor,0
4,3,2,poufsouffle,0
4,3,2,serdaigle,1
4,3,2,serpentard,0
4,3,3,gryffondor,0
4,3,3,poufsouffle,.5
4,3,3,serdaigle,0
4,3,3,serpentard,.5
4,3,4,gryffondor,.7
4,3,4,poufsouffle,0
4,3,4,serdaigle,.3
4,3,4,serpentard,0
4,3,5,gryffondor,0
4,3,5,poufsouffle,0
4,3,5,serdaigle,0
4,3,5,serpentard,1
4,3,6,gryffondor,.5
4,3,6,poufsouffle,.5
4,3,6,serdaigle,0
4,3,6,serpentard,0
4,3,7,gryffondor,0
4,3,7,poufsouffle,.7
4,3,7,serdaigle,0
4,3,7,serpentard,.3
5,1,1,gryffondor,0
5,1,1,poufsouffle,1
5,1,1,serdaigle,0
5,1,1,serpentard,0
5,1,2,gryffondor,1
5,1,2,poufsouffle,0
5,1,2,serdaigle,0
5,1,2,serpentard,0
5,1,3,gryffondor,0
5,1,3,poufsouffle,0
5,1,3,serdaigle,1
5,1,3,serpentard,0
5,1,4,gryffondor,0
5,1,4,poufsouffle,0
5,1,4,serdaigle,0
5,1,4,serpentard,1
5,2,1,gryffondor,0
5,2,1,poufsouffle,1
5,2,1,serdaigle,0
5,2,1,serpentard,0
5,2,2,gryffondor,0
5,2,2,poufsouffle,0
5,2,2,serdaigle,0
5,2,2,serpentard,1
5,2,3,gryffondor,1
5,2,3,poufsouffle,0
5,2,3,serdaigle,0
5,2,3,serpentard,0
5,2,4,gryffondor,0
5,2,4,poufsouffle,0
5,2,4,serdaigle,1
5,2,4,serpentard,0
5,3,1,gryffondor,0
5,3,1,poufsouffle,0
5,3,1,serdaigle,1
5,3,1,serpentard,0
5,3,2,gryffondor,0
5,3,2,poufsouffle,0
5,3,2,serdaigle,0
5,3,2,serpentard,1
5,3,3,gryffondor,1
5,3,3,poufsouffle,0
5,3,3,serdaigle,0
5,3,3,serpentard,0
5,3,4,gryffondor,0
5,3,4,poufsouffle,1
5,3,4,serdaigle,0
5,3,4,serpentard,0
5,4,1,gryffondor,0
5,4,1,poufsouffle,1
5,4,1,serdaigle,0
5,4,1,serpentard,0
5,4,2,gryffondor,1
5,4,2,poufsouffle,0
5,4,2,serdaigle,0
5,4,2,serpentard,0
5,4,3,gryffondor,0
5,4,3,poufsouffle,0
5,4,3,serdaigle,0
5,4,3,serpentard,1
5,4,4,gryffondor,0
5,4,4,poufsouffle,0
5,4,4,serdaigle,1
5,4,4,serpentard,0
5,5,1,gryffondor,0
5,5,1,poufsouffle,0
5,5,1,serdaigle,1
5,5,1,serpentard,0
5,5,2,gryffondor,0
5,5,2,poufsouffle,1
5,5,2,serdaigle,0
5,5,2,serpentard,0
5,5,3,gryffondor,0
5,5,3,poufsouffle,0
5,5,3,serdaigle,0
5,5,3,serpentard,1
5,5,4,gryffondor,1
5,5,4,poufsouffle,0
5,5,4,serdaigle,0
5,5,4,serpentard,0
5,6,1,gryffondor,0
5,6,1,poufsouffle,0
5,6,1,serdaigle,1
5,6,1,serpentard,0
5,6,2,gryffondor,1
5,6,2,poufsouffle,0
5,6,2,serdaigle,0
5,6,2,serpentard,0
5,6,3,gryffondor,0
5,6,3,poufsouffle,1
5,6,3,serdaigle,0
5,6,3,serpentard,0
5,6,4,gryffondor,0
5,6,4,poufsouffle,0
5,6,4,serdaigle,0
5,6,4,serpentard,1
6,1,1,gryffondor,0
6,1,1,poufsouffle,0
6,1,1,serdaigle,.5
6,1,1,serpentard,.5
6,1,2,gryffondor,.5
6,1,2,poufsouffle,.5
6,1,2,serdaigle,0
6,1,2,serpentard,0
6,2,1,gryffondor,.5
6,2,1,poufsouffle,0
6,2,1,serdaigle,.5
6,2,1,serpentard,0
6,2,2,gryffondor,0
6,2,2,poufsouffle,.5
6,2,2,serdaigle,0
6,2,2,serpentard,.5
6,3,1,gryffondor,.5
6,3,1,poufsouffle,0
6,3,1,serdaigle,.5
6,3,1,serpentard,0
6,3,2,gryffondor,0
6,3,2,poufsouffle,.5
6,3,2,serdaigle,0
6,3,2,serpentard,.5
7,1,1,gryffondor,.5
7,1,1,poufsouffle,0
7,1,1,serdaigle,0
7,1,1,serpentard,.5
7,1,2,gryffondor,0
7,1,2,poufsouffle,.5
7,1,2,serdaigle,.5
7,1,2,serpentard,0
7,2,1,gryffondor,0
7,2,1,poufsouffle,0
7,2,1,serdaigle,.5
7,2,1,serpentard,.5
7,2,2,gryffondor,.5
7,2,2,poufsouffle,.5
7,2,2,serdaigle,0
7,2,2,serpentard,0
7,3,1,gryffondor,0
7,3,1,poufsouffle,.5
7,3,1,serdaigle,.5
7,3,1,serpentard,0
7,3,2,gryffondor,.5
7,3,2,poufsouffle,0
7,3,2,serdaigle,0
7,3,2,serpentard,.5
